Organization Name,Networks Shared With Me,Networks I'm Sharing
Solano County CA SO,"Solano County CA SO,Solano County CA SO (Condor),Solano County CA SO (Homeacres)",Los Altos CA PD
Sequoias Community College District CA PD,Sequoias Community College District (CA),Los Altos CA PD
Marysville CA PD,Marysville CA PD,
Modoc County CA SO,"Modoc County CA SO (Flex),Modoc County CA SO",
West Sacramento CA PD,West Sacramento CA PD,
Pacifica CA PD,Pacifica CA PD,Los Altos CA PD
San Bernardino County CA SO,"City of Grand Terrace (SBSCO),City of Loma Linda (SBCSO),Chino Hills CA (San Bernardino County SO),City of Rancho Cucamonga CA,City of Twentynine Palms CA,City of Needles CA ",Los Altos CA PD
Union City CA PD,"Union City PD (WSIN Flex) ,Union City CA PD",Los Altos CA PD
Port Hueneme CA PD,Port Hueneme CA PD,
Hemet CA PD ,"Hemet CA PD Single Condor,Hemet CA PD - Condor,Hemet CA PD - Ravens,Hemet CA PD,Hemet CA PD - Business Partnerships",
OC Sheriff CA,"City of Lake Forest CA (OCSD),City of Stanton CA (OCSD),City of Mission Viejo CA,City of Dana Point CA (OCSD),City of San Juan Capistrano (OCSD),City of Rancho Santa Margarita (OCSD),City of San Clemente CA (OCSD),City of Yorba Linda CA (OCSD),City of Laguna Woods (OCSD),City of Laguna Niguel CA (OCSD) ,City of Laguna Hills CA (OCSD)",
Reedley CA PD,Reedley CA PD,
Sonoma County CA SO,"Sonoma County CA SO ,City of Sonoma CA ,Town of Windsor CA",Los Altos CA PD
Fremont CA PD,"Fremont CA PD ,City of Fremont (CA) - Environmental Services Department",
Whittier CA PD,Whittier CA PD,Los Altos CA PD
Brentwood CA PD,Brentwood CA PD,Los Altos CA PD
City of Lemoore CA,Lemoore CA PD,Los Altos CA PD
San Diego Harbor CA PD,San Diego Harbor CA PD,Los Altos CA PD
Oroville CA PD,"Oroville CA PD (Raven) ,Oroville CA PD",
Riverside County CA SO,"SW French Valley - County - RCSD,City of Eastvale (RCSD),Perris - County - RCSD,City of Wildomar CA - RCSD,City of Jurupa Valley CA - RCSD,City of Canyon Lake CA - RCSD,Moreno Valley - County - RCSD,City of Rancho Mirage CA - RCSD,City of Perris CA - RCSD,City of Lake Elsinore CA - RCSD,City of Rancho Mirage CA - RCSD (LR),Ben Clark Training Center - County - RCSD,Palm Desert Station - County - RCSD,Lake Matthews – County – RCSD,City of La Quinta CA - RCSD,Lake Elsinore Station - County - RCSD,Cabazon Station - County - RCSD,City of Calimesa - RCSD,City of Moreno Valley CA - RCSD,Thermal Station - County - RCSD,Hemet Station - County - RCSD,Winchester Trailer (CA),City of San Jacinto CA - RCSD,Jurupa Valley - County - RCSD,Riverside County CA SD,City of Palm Desert CA - RCSD,City of Temecula CA - RCSD,Southwest - County - RCSD,City of Norco CA - RCSD,Colorado River Station - County - RCSD",Los Altos CA PD
Tracy CA PD,"Tracy CA PD,Tracy CA PD - Trailers,Tracy CA PD (Condor)",
California State Parks,"Channel Coast District - CA State Parks ,Central Valley District - CA State Parks ,Monterey District - CA State Parks ,Great Basin District - CA State Parks,Inland Empire - CA State Parks,Gold Fields District - CA State Parks ,Angeles District - CA State Parks,Oceano Dunes District - CA State Parks ,San Diego Coastal District - CA State Parks ,Ocotillo - CA State Parks,Northern Buttes District - CA State Parks ,Bay Area District - CA State Parks,Colorado Desert District - CA State Parks ,Diablo Range District - CA State Parks ",Los Altos CA PD
Berkeley CA PD,Berkeley CA PD,
Calistoga CA PD,Calistoga CA PD,Los Altos CA PD
Mendocino County SO-CA,"Mendocino County CA SO,NCRIC - Mendocino County SO",
Belmont CA PD,"Belmont CA PD,Belmont CA PD - FLEX",Los Altos CA PD
Westmorland CA PD,Westmorland CA PD,
Escondido CA PD,Escondido CA PD,
Watsonville CA PD,Watsonville CA PD,Los Altos CA PD
Brawley CA PD,"Brawley CA PD,Brawley CA PD Raven",
Oakland CA PD,Oakland CA PD,
Greenfield CA PD,"Greenfield PD CA,Greenfield PD CA (Condors) ",Los Altos CA PD
Shafter PD CA,Shafter CA PD,Los Altos CA PD
Butte County CA SO,Butte County SO,Los Altos CA PD
Stallion Springs CA PD,Stallion Springs CA PD,Los Altos CA PD
Contra Costa County CA SO,"Contra Costa CA SO Bay Point,Contra Costa CA SO Alamo P2,City of Diablo CA,City of Orinda CA,Contra Costa County CA SO - Marsh Creek,Contra Costa CA SO Alamo P5",Los Altos CA PD
West Covina CA PD,"West Covina CA PD Flex,West Covina CA PD",Los Altos CA PD
