Organization Name,Networks Shared With Me
Pacifica CA PD,Pacifica CA PD
San Bernardino County CA SO,"City of Grand Terrace (SBSCO),City of Loma Linda (SBCSO),Chino Hills CA (San Bernardino County SO),City of Rancho Cucamonga CA,City of Twentynine Palms CA,City of Needles CA "
Union City CA PD,"Union City PD (WSIN Flex) ,Union City CA PD"
Port Hueneme CA PD,Port Hueneme CA PD
Hemet CA PD ,"Hemet CA PD Single Condor,Hemet CA PD - Condor,Hemet CA PD - Ravens,Hemet CA PD,Hemet CA PD - Business Partnerships"
Orange County SO CA,"City of Lake Forest CA (OCSD),City of Stanton CA (OCSD),City of Mission Viejo CA,City of Dana Point CA (OCSD),City of San Juan Capistrano (OCSD),City of Rancho Santa Margarita (OCSD),City of San Clemente CA (OCSD),City of Yorba Linda CA (OCSD),City of Laguna Woods (OCSD),City of Laguna Niguel CA (OCSD) ,City of Laguna Hills CA (OCSD)"
Fremont CA PD,"City of Fremont (Condor),Fremont CA PD ,City of Fremont (CA) - Environmental Services Department"
Reedley CA PD,Reedley CA PD
Sonoma County CA SO,"Sonoma County CA SO ,City of Sonoma CA ,Town of Windsor CA"
Whittier CA PD,Whittier CA PD
Brentwood CA PD,Brentwood CA PD
City of Lemoore CA,Lemoore CA PD
San Diego Harbor CA PD,San Diego Harbor CA PD
Riverside County CA SO,"SW French Valley - County - RCSD,City of Eastvale (RCSD),Perris - County - RCSD,City of Wildomar CA - RCSD,City of Jurupa Valley CA - RCSD,City of Canyon Lake CA - RCSD,Moreno Valley - County - RCSD,City of Rancho Mirage CA - RCSD,City of Perris CA - RCSD,City of Lake Elsinore CA - RCSD,City of Rancho Mirage CA - RCSD (LR),Ben Clark Training Center - County - RCSD,Palm Desert Station - County - RCSD,Lake Matthews – County – RCSD,City of La Quinta CA - RCSD,Lake Elsinore Station - County - RCSD,Cabazon Station - County - RCSD,City of Calimesa - RCSD,City of Moreno Valley CA - RCSD,Thermal Station - County - RCSD,Hemet Station - County - RCSD,Winchester Trailer (CA),City of San Jacinto CA - RCSD,Jurupa Valley - County - RCSD,Riverside County CA SD,City of Palm Desert CA - RCSD,City of Temecula CA - RCSD,Southwest - County - RCSD,City of Norco CA - RCSD,Colorado River Station - County - RCSD"
Oroville CA PD,"Oroville CA PD (Raven) ,Oroville CA PD"
Tracy CA PD,"Tracy CA PD - LPR,Tracy CA PD - Trailers,Tracy CA PD (Condor)"
