fips	name	population	vehicles
01001	Autauga County, Alabama	59285	47479
01003	Baldwin County, Alabama	239945	188354
01005	Barbour County, Alabama	24757	16778
01007	Bibb County, Alabama	22152	16144
01009	Blount County, Alabama	59292	49726
01011	Bullock County, Alabama	10157	5716
01013	Butler County, Alabama	18807	14222
01015	Calhoun County, Alabama	116141	88726
01017	Chambers County, Alabama	34450	27093
01019	Cherokee County, Alabama	25224	22376
01021	Chilton County, Alabama	45500	38051
01023	Choctaw County, Alabama	12525	10749
01025	Clarke County, Alabama	22802	15637
01027	Clay County, Alabama	14188	12958
01029	Cleburne County, Alabama	15254	13238
01031	Coffee County, Alabama	54231	42518
01033	Colbert County, Alabama	57648	48543
01035	Conecuh County, Alabama	11411	8272
01037	Coosa County, Alabama	10323	8696
01039	Covington County, Alabama	37647	28058
01041	Crenshaw County, Alabama	13144	9771
01043	Cullman County, Alabama	89463	77135
01045	Dale County, Alabama	49516	38278
01047	Dallas County, Alabama	37536	25300
01049	DeKalb County, Alabama	71946	56335
01051	Elmore County, Alabama	88669	69182
01053	Escambia County, Alabama	36695	22904
01055	Etowah County, Alabama	103208	81708
01057	Fayette County, Alabama	16173	12225
01059	Franklin County, Alabama	31978	23952
01061	Geneva County, Alabama	26726	20672
01063	Greene County, Alabama	7589	5114
01065	Hale County, Alabama	14749	10137
01067	Henry County, Alabama	17450	13303
01069	Houston County, Alabama	107628	78258
01071	Jackson County, Alabama	52839	44109
01073	Jefferson County, Alabama	669744	492895
01075	Lamar County, Alabama	13809	10209
01077	Lauderdale County, Alabama	95037	77756
01079	Lawrence County, Alabama	33182	30245
01081	Lee County, Alabama	177663	131757
01083	Limestone County, Alabama	107577	87140
01085	Lowndes County, Alabama	10008	7424
01087	Macon County, Alabama	18951	13197
01089	Madison County, Alabama	397135	320388
01091	Marengo County, Alabama	19027	14329
01093	Marion County, Alabama	29190	23021
01095	Marshall County, Alabama	98712	76776
01097	Mobile County, Alabama	413162	299701
01099	Monroe County, Alabama	19580	13928
01101	Montgomery County, Alabama	227197	158314
01103	Morgan County, Alabama	123742	100511
01105	Perry County, Alabama	8231	5615
01107	Pickens County, Alabama	18843	14676
01109	Pike County, Alabama	32953	23207
01111	Randolph County, Alabama	22310	19931
01113	Russell County, Alabama	58858	43972
01115	St. Clair County, Alabama	92903	74740
01117	Shelby County, Alabama	226955	180005
01119	Sumter County, Alabama	12020	9536
01121	Talladega County, Alabama	81170	66040
01123	Tallapoosa County, Alabama	41070	33546
01125	Tuscaloosa County, Alabama	234036	166865
01127	Walker County, Alabama	64886	52514
01129	Washington County, Alabama	15270	13106
01131	Wilcox County, Alabama	10347	6717
