fips	name	population	vehicles
0100100	Abanda CDP, Alabama	48	
0100124	Abbeville city, Alabama	2470	1485
0100460	Adamsville city, Alabama	4291	3269
0100484	Addison town, Alabama	651	646
0100676	Akron town, Alabama	354	199
0100820	Alabaster city, Alabama	33633	25413
0100988	Albertville city, Alabama	22584	15390
0101132	Alexander City city, Alabama	14686	11150
0101180	Alexandria CDP, Alabama	3420	3394
0101228	Aliceville city, Alabama	2338	1232
0101396	Allgood town, Alabama	788	468
0101660	Altoona town, Alabama	1211	900
0101708	Andalusia city, Alabama	8841	5721
0101756	Anderson town, Alabama	309	363
0101852	Anniston city, Alabama	21377	14835
0102116	Arab city, Alabama	8573	6675
0102260	Ardmore town, Alabama	1444	1057
0102320	Argo town, Alabama	4456	3558
0102428	Ariton town, Alabama	706	496
0102500	Arley town, Alabama	518	360
0102836	Ashford town, Alabama	2438	1691
0102860	Ashland town, Alabama	1779	1399
0102908	Ashville city, Alabama	2748	1856
0102956	Athens city, Alabama	27474	21804
0103004	Atmore city, Alabama	8389	3882
0103028	Attalla city, Alabama	5829	4756
0103076	Auburn city, Alabama	78738	53844
0103220	Autaugaville town, Alabama	1119	897
0103364	Avon town, Alabama	388	344
0103508	Axis CDP, Alabama	243	283
0103556	Babbie town, Alabama	559	409
0103676	Baileyton town, Alabama	976	999
0103724	Bakerhill town, Alabama	280	217
0103820	Ballplay CDP, Alabama	1149	969
0103940	Banks town, Alabama	298	181
0104660	Bay Minette city, Alabama	8215	5116
0104684	Bayou La Batre city, Alabama	1977	1220
0104852	Bear Creek town, Alabama	1317	1020
0104900	Beatrice town, Alabama	169	122
0104948	Beaverton town, Alabama	184	150
0105140	Belgreen CDP, Alabama	33	33
0105164	Belk town, Alabama	327	214
0105188	Bellamy CDP, Alabama	190	
0105212	Belle Fontaine CDP, Alabama	853	642
0105692	Benton town, Alabama	34	31
0105812	Berlin town, Alabama	592	543
0105932	Berry town, Alabama	1063	680
0105980	Bessemer city, Alabama	25655	17552
0106460	Billingsley town, Alabama	71	
0107000	Birmingham city, Alabama	199322	133642
0107120	Black town, Alabama	462	320
0107456	Blountsville town, Alabama	1757	1130
0107588	Blue Ridge CDP, Alabama	1375	
0107672	Blue Springs town, Alabama	95	99
0107912	Boaz city, Alabama	10847	6984
0108104	Boligee town, Alabama	213	109
0108248	Bon Air town, Alabama	116	74
0108272	Bon Secour CDP, Alabama	3094	2025
0108680	Boykin CDP, Alabama	280	
0109016	Brantley town, Alabama	915	560
0109064	Brantleyville CDP, Alabama	720	452
0109136	Brent city, Alabama	2862	1596
0109208	Brewton city, Alabama	5232	3119
0109328	Bridgeport city, Alabama	2377	2033
0109400	Brighton city, Alabama	3091	1772
0109424	Brilliant town, Alabama	1078	999
0109457	Bristow Cove CDP, Alabama	150	
0109500	Brook Highland CDP, Alabama	8428	7066
0109736	Brookside town, Alabama	1200	767
0109808	Brookwood town, Alabama	2489	2131
0109880	Broomtown CDP, Alabama	222	150
0110240	Brundidge city, Alabama	2170	1466
0110456	Bucks CDP, Alabama	0	-666666666
0111032	Butler town, Alabama	2552	1548
0111416	Calera city, Alabama	17188	12853
0111488	Calvert CDP, Alabama	83	
0111512	Camden city, Alabama	2056	1178
0111680	Camp Hill town, Alabama	1098	674
0112016	Carbon Hill city, Alabama	1440	1097
0112040	Cardiff town, Alabama	42	
0112070	Carlisle-Rockledge CDP, Alabama	1791	1365
0112112	Carlton CDP, Alabama	32	
0112160	Carolina town, Alabama	250	207
0112304	Carrollton town, Alabama	892	572
0112496	Castleberry town, Alabama	288	186
0112544	Catherine CDP, Alabama	5	
0112760	Cedar Bluff town, Alabama	1633	1339
0113264	Center Point city, Alabama	16125	10401
0113648	Centre city, Alabama	3664	2922
0113672	Centreville city, Alabama	2757	2248
0114008	Chatom town, Alabama	669	431
0114104	Chelsea city, Alabama	15731	11947
0114152	Cherokee town, Alabama	1059	859
0114392	Chickasaw city, Alabama	6367	4211
0114464	Childersburg city, Alabama	4694	3353
0114728	Choccolocco CDP, Alabama	3120	2401
0114968	Chunchula CDP, Alabama	213	126
0115064	Citronelle city, Alabama	3918	2951
0115136	Clanton city, Alabama	8862	6831
0115256	Clay city, Alabama	10288	8340
0115304	Clayhatchee town, Alabama	490	492
0115376	Clayton town, Alabama	2271	794
0115472	Cleveland town, Alabama	1366	1240
0115640	Clio city, Alabama	1393	897
0116000	Coaling town, Alabama	2253	1611
0116080	Coats Bend CDP, Alabama	1429	
0116240	Coffee Springs town, Alabama	252	257
0116264	Coffeeville town, Alabama	237	177
0116312	Coker town, Alabama	1152	973
0116600	Collinsville town, Alabama	1835	1065
0116684	Colony town, Alabama	261	220
0116744	Columbia town, Alabama	769	522
0116768	Columbiana city, Alabama	4640	2652
0116936	Concord CDP, Alabama	1878	1773
0117176	Coosada town, Alabama	1060	886
0117368	Cordova city, Alabama	1723	1023
0117704	Cottondale CDP, Alabama	2850	3238
0117824	Cottonwood town, Alabama	1091	949
0117968	County Line town, Alabama	302	218
0118040	Courtland town, Alabama	777	615
0118088	Cowarts town, Alabama	2189	1771
0118304	Creola city, Alabama	2489	1694
0118856	Crossville town, Alabama	2296	1446
0118952	Cuba town, Alabama	369	378
0118976	Cullman city, Alabama	18894	14335
0119024	Cullomburg CDP, Alabama	310	195
