ori	agency_name	agency_type_name	state	county	lat	lng	is_nibrs
DC0011300	District of Columbia Fire and Emergency Medical Services Arson Investigation Unit	Other	DC	NOT SPECIFIED	38.904103	-77.017229	0
DCMPD0000	Washington Police Department	City	DC	NOT SPECIFIED	38.894764	-77.015205	1
DCMTP0000	Metro Transit Police	Other	DC	NOT SPECIFIED	38.89739	-77.01894	1
HI0010000	Hawaii Police Department	County	HI	HAWAII	19.716698	-155.08688	1
HI0010200	Department of Law Enforcement: Hawaii Island	Other State Agency	HI	HAWAII			0
HI0020000	Honolulu Police Department	City	HI	HONOLULU	21.304317	-157.85077	1
HI0020200	Department of Law Enforcement: Narcotics Enforcement Division	Other State Agency	HI	HONOLULU			0
HI0020400	Department of Law Enforcement: Oahu	Other State Agency	HI	HONOLULU			0
HI0020900	Department of Law Enforcement: Office of Inspector General	Other State Agency	HI	HONOLULU			0
HI0021100	Department of Law Enforcement: Harbors Enforcement	Other State Agency	HI	HONOLULU			0
HI0021200	Department of Law Enforcement: Executive Protection Section	Other State Agency	HI	HONOLULU			0
HI0024700	Department of Law Enforcement: Criminal Investigations Division	Other State Agency	HI	HONOLULU			0
HI0040000	Kauai Police Department	County	HI	KAUAI	22.012038	-159.705965	1
HI0040300	Department of Law Enforcement: Kauai	Other State Agency	HI	KAUAI			0
HI0050000	Maui Police Department	County	HI	MAUI	20.887321	-156.48763	1
HI0050700	Department of Law Enforcement: Maui	Other State Agency	HI	MAUI			0
IA0010000	Adair County Sheriff's Office	County	IA	ADAIR	41.328528	-94.478164	1
IA0010100	Greenfield Police Department	City	IA	ADAIR			1
IA0020000	Adams County Sheriff's Office	County	IA	ADAMS	41.021656	-94.696906	1
IA0030000	Allamakee County Sheriff's Office	County	IA	ALLAMAKEE	43.274964	-91.382751	1
IA0030100	Waukon Police Department	City	IA	ALLAMAKEE	43.270214	-91.47768	1
IA0030400	Postville Police Department	City	IA	ALLAMAKEE, CLAYTON			1
IA0030500	Lansing Police Department	City	IA	ALLAMAKEE			1
IA0040000	Appanoose County Sheriff's Office	County	IA	APPANOOSE	40.73496	-92.88444	1
IA0040100	Centerville Police Department	City	IA	APPANOOSE	40.744683	-92.870345	1
IA0050000	Audubon County Sheriff's Office	County	IA	AUDUBON	41.679178	-94.904312	1
IA0050100	Audubon Police Department	City	IA	AUDUBON	41.7217	-94.93159	1
IA0060000	Benton County Sheriff's Office	County	IA	BENTON	42.16869	-92.02407	1
IA0060100	Belle Plaine Police Department	City	IA	BENTON	41.892105	-92.26985	1
IA0060200	Vinton Police Department	City	IA	BENTON	42.168144	-92.02555	1
IA0070000	Black Hawk County Sheriff's Office	County	IA	BLACK HAWK	42.497097	-92.333565	1
IA0070100	Cedar Falls Police Department	City	IA	BLACK HAWK	42.53667	-92.4481	1
IA0070200	Evansdale Police Department	City	IA	BLACK HAWK	42.465996	-92.287605	1
IA0070300	Waterloo Police Department	City	IA	BLACK HAWK	42.499016	-92.33279	1
IA0070700	University of Northern Iowa	University or College	IA	BLACK HAWK	42.471533	-92.308011	1
IA0080000	Boone County Sheriff's Office	County	IA	BOONE	42.05968	-93.87797	1
IA0080100	Boone Police Department	City	IA	BOONE	42.038601	-93.939138	1
IA0080200	Ogden Police Department	City	IA	BOONE	42.03905	-94.0339	1
IA0090000	Bremer County Sheriff's Office	County	IA	BREMER	42.72686	-92.46567	1
IA0090100	Sumner Police Department	City	IA	BREMER, FAYETTE			1
IA0090200	Waverly Police Department	City	IA	BREMER	42.72686	-92.46567	1
IA0090600	Denver Police Department	City	IA	BREMER			1
IA0100000	Buchanan County Sheriff's Office	County	IA	BUCHANAN	42.469856	-91.88937	1
IA0100100	Independence Police Department	City	IA	BUCHANAN	42.469856	-91.88937	1
IA0100400	Fairbank Police Department	City	IA	BUCHANAN, FAYETTE			1
IA0110000	Buena Vista County Sheriff's Office	County	IA	BUENA VISTA	42.741521	-95.141431	1
IA0110100	Storm Lake Police Department	City	IA	BUENA VISTA	42.647488	-95.19677	1
IA0120000	Butler County Sheriff's Office	County	IA	BUTLER	42.734708	-92.780066	1
IA0120100	Parkersburg Police Department	City	IA	BUTLER			1
IA0130000	Calhoun County Sheriff's Office	County	IA	CALHOUN	42.38617	-94.643683	1
IA0130100	Lake City Police Department	City	IA	CALHOUN			1
IA0130200	Rockwell City Police Department	City	IA	CALHOUN			1
IA0140000	Carroll County Sheriff's Office	County	IA	CARROLL	42.065514	-94.86695	1
IA0140100	Carroll Police Department	City	IA	CARROLL	42.064484	-94.86749	1
IA0150000	Cass County Sheriff's Office	County	IA	CASS	41.403965	-95.013145	1
IA0150100	Atlantic Police Department	City	IA	CASS	41.40697	-95.01266	1
IA0160000	Cedar County Sheriff's Office	County	IA	CEDAR	41.763645	-91.12222	1
IA0160100	Tipton Police Department	City	IA	CEDAR	41.769066	-91.12984	1
IA0160200	Durant Police Department	City	IA	CEDAR, MUSCATINE, SCOTT			1
IA0160300	West Branch Police Department	City	IA	CEDAR, JOHNSON	41.77236	-91.132611	1
IA0160400	Clarence Police Department	City	IA	CEDAR			1
IA0160700	Mechanicsville Police Department	City	IA	CEDAR			1
IA0170000	Cerro Gordo County Sheriff's Office	County	IA	CERRO GORDO	43.153835	-93.20268	1
IA0170100	Clear Lake Police Department	City	IA	CERRO GORDO	43.075171	-93.251266	1
IA0170200	Mason City Police Department	City	IA	CERRO GORDO	43.15112	-93.19622	1
IA0180000	Cherokee County Sheriff's Office	County	IA	CHEROKEE	42.74987	-95.55457	1
IA0180100	Cherokee Police Department	City	IA	CHEROKEE	42.74987	-95.55457	1
IA0190000	Chickasaw County Sheriff's Office	County	IA	CHICKASAW	43.059741	-92.31721	1
IA0190100	New Hampton Police Department	City	IA	CHICKASAW	43.059086	-92.314095	1
IA0200000	Clarke County Sheriff's Office	County	IA	CLARKE	41.029191	-93.784096	1
IA0200100	Osceola Police Department	City	IA	CLARKE	41.029191	-93.784096	1
IA0210000	Clay County Sheriff's Office	County	IA	CLAY	43.079822	-95.149726	1
IA0210100	Spencer Police Department	City	IA	CLAY	43.141373	-95.146164	1
IA0220000	Clayton County Sheriff's Office	County	IA	CLAYTON	42.891697	-91.356926	1
IA0220400	Mar-Mac Police Department	City	IA	CLAYTON			1
IA0230000	Clinton County Sheriff's Office	County	IA	CLINTON	41.851048	-90.18745	1
IA0230100	Clinton Police Department	City	IA	CLINTON	41.898073	-90.534243	1
IA0230200	Camanche Police Department	City	IA	CLINTON	41.786945	-90.257935	1
IA0230300	DeWitt Police Department	City	IA	CLINTON	41.82424	-90.53913	1
IA0240000	Crawford County Sheriff's Office	County	IA	CRAWFORD	42.043119	-95.38909	1
IA0240100	Denison Police Department	City	IA	CRAWFORD	42.017834	-95.35737	1
IA0250000	Dallas County Sheriff's Office	County	IA	DALLAS	41.685321	-94.040707	1
IA0250100	Perry Police Department	City	IA	DALLAS	41.685321	-94.040707	1
IA0250200	Adel Police Department	City	IA	DALLAS	41.685321	-94.040707	1
IA0250400	Waukee Police Department	City	IA	DALLAS	41.685321	-94.040707	1
IA0250500	De Soto Police Department	City	IA	DALLAS			1
IA0250700	Van Meter Police Department	City	IA	DALLAS			1
IA0250800	Woodward Police Department	City	IA	BOONE, DALLAS			1
IA0260000	Davis County Sheriff's Office	County	IA	DAVIS	40.750652	-92.41525	1
IA0260100	Bloomfield Police Department	City	IA	DAVIS	40.750652	-92.41525	1
IA0270000	Decatur County Sheriff's Office	County	IA	DECATUR	40.740402	-93.74693	1
IA0270100	Leon Police Department	City	IA	DECATUR	40.73951	-93.74707	1
IA0280000	Delaware County Sheriff's Office	County	IA	DELAWARE	42.473002	-91.359438	1
IA0280100	Manchester Police Department	City	IA	DELAWARE	42.47613	-91.34304	1
IA0290000	Des Moines County Sheriff's Office	County	IA	DES MOINES	40.81156	-91.10088	1
IA0290100	Burlington Police Department	City	IA	DES MOINES	40.811058	-91.10232	1
IA0290200	West Burlington Police Department	City	IA	DES MOINES	40.825764	-91.15657	1
IA0290300	Southeast Iowa Narcotics Task Force Burlington	Other	IA	DES MOINES			1
IA0300000	Dickinson County Sheriff's Office	County	IA	DICKINSON	43.389611	-95.196057	1
IA0300100	Spirit Lake Police Department	City	IA	DICKINSON	43.42442	-95.10363	1
